Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
18,    Ausland,30611,100833
,,,
19,  Nordwestmecklenburg,77610,323492
20,    Deutschland,69776,303926
21,    Ausland,7834,19566
,,,
22,  Vorpommern-Greifswald,173067,963285
23,    Deutschland,164863,933273
24,    Ausland,8204,30012
,,,
25,  Ludwigslust-Parchim,50662,171999
26,    Deutschland,45010,156334
27,    Ausland,5652,15665
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",9873,24875
29,    Deutschland,8762,22288
30,    Ausland,1111,2587
,,,
31,"  Neubrandenburg, Stadt 11)",10232,16755
32,    Deutschland,9172,15146
33,    Ausland,1060,1609
,,,
34,"  Stralsund, Hansestadt 12)",26511,59533
35,    Deutschland,20452,46355
36,    Ausland,6059,13178
,,,
37,"  Wismar, Hansestadt 13)",14610,34816
38,    Deutschland,11369,28703
39,    Ausland,3241,6113
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",August 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,1130639,5474269
2,  Deutschland,1073548,5307502
3,  Ausland,57091,166767
,,,
4,"  Rostock, Hansestadt",85188,280205
5,    Deutschland,78979,264772
6,    Ausland,6209,15433
,,,
7,"  Schwerin, Landeshauptstadt",26463,48915
8,    Deutschland,22980,42973
9,    Ausland,3483,5942
,,,
,  Mecklenburgische,,
10,    Seenplatte,188403,782542
11,    Deutschland,182697,766866
12,    Ausland,5706,15676
,,,
13,  Landkreis Rostock,154040,831286
14,    Deutschland,148736,815255
15,    Ausland,5304,16031
,,,
16,  Vorpommern-Rügen,347041,1849865
17,    Deutschland,327749,1787795
18,    Ausland,19292,62070
,,,
19,  Nordwestmecklenburg,83911,384379
20,    Deutschland,77996,369259
21,    Ausland,5915,15120
,,,
22,  Vorpommern-Greifswald,189137,1092274
23,    Deutschland,183162,1070663
24,    Ausland,5975,21611
,,,
25,  Ludwigslust-Parchim,56456,204803
26,    Deutschland,51249,189919
27,    Ausland,5207,14884
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",11648,29349
29,    Deutschland,10613,27333
30,    Ausland,1035,2016
,,,
31,"  Neubrandenburg, Stadt 11)",9526,16206
32,    Deutschland,8881,15177
33,    Ausland,645,1029
,,,
34,"  Stralsund, Hansestadt 12)",28234,65316
35,    Deutschland,24442,56281
36,    Ausland,3792,9035
,,,
37,"  Wismar, Hansestadt 13)",15361,38572
38,    Deutschland,13118,34026
39,    Ausland,2243,4546
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",September 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,718396,2934938
2,  Deutschland,683997,2844680
3,  Ausland,34399,90258
,,,
4,"  Rostock, Hansestadt",67691,184413
5,    Deutschland,61980,170353
6,    Ausland,5711,14060
,,,
7,"  Schwerin, Landeshauptstadt",20554,38705
8,    Deutschland,18393,34530
9,    Ausland,2161,4175
,,,
,  Mecklenburgische,,
10,    Seenplatte,98584,339108
11,    Deutschland,95686,331714
12,    Ausland,2898,7394
,,,
13,  Landkreis Rostock,105895,479164
14,    Deutschland,103233,471678
15,    Ausland,2662,7486
,,,
16,  Vorpommern-Rügen,208469,974164
17,    Deutschland,197477,941517
18,    Ausland,10992,32647
,,,
19,  Nordwestmecklenburg,54430,206929
20,    Deutschland,51820,199978
21,    Ausland,2610,6951
,,,
22,  Vorpommern-Greifswald,122816,593649
23,    Deutschland,119821,584658
24,    Ausland,2995,8991
,,,
25,  Ludwigslust-Parchim,39957,118806
26,    Deutschland,35587,110252
27,    Ausland,4370,8554
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",9144,23735
29,    Deutschland,8582,22570
30,    Ausland,562,1165
,,,
31,"  Neubrandenburg, Stadt 11)",7032,11880
32,    Deutschland,6524,10961
33,    Ausland,508,919
,,,
34,"  Stralsund, Hansestadt 12)",21260,49426
35,    Deutschland,18570,43438
36,    Ausland,2690,5988
,,,
37,"  Wismar, Hansestadt 13)",12078,29298
38,    Deutschland,10742,26820
39,    Ausland,1336,2478
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Oktober 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,651265,2413731
2,  Deutschland,626682,2354311
3,  Ausland,24583,59420
,,,
4,"  Rostock, Hansestadt",67927,175682
5,    Deutschland,63354,163848
6,    Ausland,4573,11834
,,,
7,"  Schwerin, Landeshauptstadt",16885,28848
8,    Deutschland,14908,25825
9,    Ausland,1977,3023
,,,
,  Mecklenburgische,,
10,    Seenplatte,83851,264711
11,    Deutschland,81796,260579
12,    Ausland,2055,4132
,,,
13,  Landkreis Rostock,99691,410226
14,    Deutschland,96520,401234
15,    Ausland,3171,8992
,,,
16,  Vorpommern-Rügen,188039,782474
17,    Deutschland,182083,766421
18,    Ausland,5956,16053
,,,
19,  Nordwestmecklenburg,49818,180862
20,    Deutschland,47772,175636
21,    Ausland,2046,5226
,,,
22,  Vorpommern-Greifswald,112252,476377
23,    Deutschland,110801,472648
24,    Ausland,1451,3729
,,,
25,  Ludwigslust-Parchim,32802,94551
26,    Deutschland,29448,88120
27,    Ausland,3354,6431
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",7237,16999
29,    Deutschland,6792,16156
30,    Ausland,445,843
,,,
31,"  Neubrandenburg, Stadt 11)",6032,10631
32,    Deutschland,5328,9525
33,    Ausland,704,1106
,,,
34,"  Stralsund, Hansestadt 12)",19652,45851
35,    Deutschland,17979,41897
36,    Ausland,1673,3954
,,,
37,"  Wismar, Hansestadt 13)",10542,27123
38,    Deutschland,9471,25003
39,    Ausland,1071,2120
