469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;Gästeübernachtungen;Gästeankünfte
;;;;insgesamt;insgesamt
04011;Stadt Bremen;2010-07;Sonstige Einrichtungen 3);7512;3583
04011;Stadt Bremen;2010-07;Insgesamt;121672;67520
04011;Stadt Bremen;2010-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;112744;67515
04011;Stadt Bremen;2010-06;Sonstige Einrichtungen 3);7245;3364
04011;Stadt Bremen;2010-06;Insgesamt;119989;70879
04011;Stadt Bremen;2010-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;118927;70721
04011;Stadt Bremen;2010-05;Sonstige Einrichtungen 3);8667;3985
04011;Stadt Bremen;2010-05;Insgesamt;127594;74706
04011;Stadt Bremen;2010-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;109150;66658
04011;Stadt Bremen;2010-04;Sonstige Einrichtungen 3);6574;2932
04011;Stadt Bremen;2010-04;Insgesamt;115724;69590
04011;Stadt Bremen;2010-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;96728;57192
04011;Stadt Bremen;2010-03;Sonstige Einrichtungen 3);8100;3437
04011;Stadt Bremen;2010-03;Insgesamt;104828;60629
04011;Stadt Bremen;2010-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;92798;56935
04011;Stadt Bremen;2010-02;Sonstige Einrichtungen 3);4929;2203
04011;Stadt Bremen;2010-02;Insgesamt;97727;59138
04011;Stadt Bremen;2010-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;77657;46693
04011;Stadt Bremen;2010-01;Sonstige Einrichtungen 3);2619;1141
04011;Stadt Bremen;2010-01;Insgesamt;80276;47834
04011;Stadt Bremen;2009-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;105902;62584
04011;Stadt Bremen;2009-12;Sonstige Einrichtungen 3);3496;1619
04011;Stadt Bremen;2009-12;Insgesamt;109398;64203
04011;Stadt Bremen;2009-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;104038;63149
04011;Stadt Bremen;2009-11;Sonstige Einrichtungen 3);4799;2402
04011;Stadt Bremen;2009-11;Insgesamt;108837;65551
04011;Stadt Bremen;2009-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;120058;69287
04011;Stadt Bremen;2009-10;Sonstige Einrichtungen 3);7688;3519
04011;Stadt Bremen;2009-10;Insgesamt;127746;72806
04011;Stadt Bremen;2009-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;117982;67154
04011;Stadt Bremen;2009-09;Sonstige Einrichtungen 3);8663;3501
04011;Stadt Bremen;2009-09;Insgesamt;126645;70655
04011;Stadt Bremen;2009-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;113077;62925
04011;Stadt Bremen;2009-08;Sonstige Einrichtungen 3);7779;3638
04011;Stadt Bremen;2009-08;Insgesamt;120856;66563
04011;Stadt Bremen;2009-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;96678;55645
04011;Stadt Bremen;2009-07;Sonstige Einrichtungen 3);7819;3865
04011;Stadt Bremen;2009-07;Insgesamt;104497;59510
04011;Stadt Bremen;2009-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;107075;61859
04011;Stadt Bremen;2009-06;Sonstige Einrichtungen 3);7027;3425
04011;Stadt Bremen;2009-06;Insgesamt;114102;65284
04011;Stadt Bremen;2009-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;122662;68266
04011;Stadt Bremen;2009-05;Sonstige Einrichtungen 3);6565;2544
04011;Stadt Bremen;2009-05;Insgesamt;129227;70810
04011;Stadt Bremen;2009-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;99446;58783
04011;Stadt Bremen;2009-04;Sonstige Einrichtungen 3);8260;3560
04011;Stadt Bremen;2009-04;Insgesamt;107706;62343
