469-30: Beherbergungsbetriebe, Gästebetten,Zeit,Zeit,,
Gebietsschlüssel,Gebietseinheit,Jahr,Monat,Tourismus (Monatszahlen) 1),Tourismus (Monatszahlen) 1)
,,,,Gästeübernachtungen,Gästeankünfte
,,,,insgesamt,insgesamt
4012,Stadt Bremerhaven,2014,1,2181,1002
4012,Stadt Bremerhaven,2013,12,19058,10098
4012,Stadt Bremerhaven,2013,12,1203,631
4012,Stadt Bremerhaven,2013,11,21725,11794
4012,Stadt Bremerhaven,2013,11,2946,1501
4012,Stadt Bremerhaven,2013,10,29456,14912
4012,Stadt Bremerhaven,2013,10,6481,2980
4012,Stadt Bremerhaven,2013,9,31318,16108
4012,Stadt Bremerhaven,2013,9,5246,2371
4012,Stadt Bremerhaven,2013,8,32059,16116
4012,Stadt Bremerhaven,2013,8,6408,2898
4012,Stadt Bremerhaven,2013,7,30124,14963
4012,Stadt Bremerhaven,2013,7,5868,2837
4012,Stadt Bremerhaven,2013,6,27710,14470
4012,Stadt Bremerhaven,2013,6,6127,2970
4012,Stadt Bremerhaven,2013,5,27429,14134
4012,Stadt Bremerhaven,2013,5,7003,3506
4012,Stadt Bremerhaven,2013,4,23716,12050
4012,Stadt Bremerhaven,2013,4,4273,1874
4012,Stadt Bremerhaven,2013,3,20833,10488
4012,Stadt Bremerhaven,2013,3,5052,1949
4012,Stadt Bremerhaven,2013,2,16659,8728
4012,Stadt Bremerhaven,2013,2,2728,1269
4012,Stadt Bremerhaven,2013,1,16964,8342
4012,Stadt Bremerhaven,2013,1,2024,1013
4012,Stadt Bremerhaven,2012,12,18540,9543
4012,Stadt Bremerhaven,2012,12,1503,763
4012,Stadt Bremerhaven,2012,11,21685,11563
4012,Stadt Bremerhaven,2012,11,2793,1313
4012,Stadt Bremerhaven,2012,10,28043,13772
4012,Stadt Bremerhaven,2012,10,5852,2470
4012,Stadt Bremerhaven,2012,9,28666,14255
4012,Stadt Bremerhaven,2012,9,7413,3478
4012,Stadt Bremerhaven,2012,8,31024,15201
4012,Stadt Bremerhaven,2012,8,7943,3763
4012,Stadt Bremerhaven,2012,7,30132,15044
4012,Stadt Bremerhaven,2012,7,7718,3608
4012,Stadt Bremerhaven,2012,6,28511,14473
4012,Stadt Bremerhaven,2012,6,6641,3133
4012,Stadt Bremerhaven,2012,5,27621,14474
4012,Stadt Bremerhaven,2012,5,6876,3330
4012,Stadt Bremerhaven,2012,4,25339,13081
4012,Stadt Bremerhaven,2012,4,7589,3384
4012,Stadt Bremerhaven,2012,3,21377,10944
4012,Stadt Bremerhaven,2012,3,5050,2352
4012,Stadt Bremerhaven,2012,2,18231,9385
4012,Stadt Bremerhaven,2012,2,2280,1036
4012,Stadt Bremerhaven,2012,1,17004,9076
4012,Stadt Bremerhaven,2012,1,1792,864
4012,Stadt Bremerhaven,2011,12,19376,9878
4012,Stadt Bremerhaven,2011,12,1836,964
4012,Stadt Bremerhaven,2011,11,22752,11420
4012,Stadt Bremerhaven,2011,11,5957,2878
4012,Stadt Bremerhaven,2011,10,30654,15883
4012,Stadt Bremerhaven,2011,10,7582,3786
4012,Stadt Bremerhaven,2011,9,30384,15986
4012,Stadt Bremerhaven,2011,9,7275,3268
4012,Stadt Bremerhaven,2011,8,32091,15965
4012,Stadt Bremerhaven,2011,8,7523,3633
4012,Stadt Bremerhaven,2011,7,30293,15995
4012,Stadt Bremerhaven,2011,7,8901,4215
4012,Stadt Bremerhaven,2011,6,31171,16242
4012,Stadt Bremerhaven,2011,6,7018,3493
4012,Stadt Bremerhaven,2011,5,27865,14940
4012,Stadt Bremerhaven,2011,5,6699,3200
4012,Stadt Bremerhaven,2011,4,25866,13225
4012,Stadt Bremerhaven,2011,4,8139,3763
4012,Stadt Bremerhaven,2011,3,20745,10766
4012,Stadt Bremerhaven,2011,3,3962,1849
4012,Stadt Bremerhaven,2011,2,16309,8692
4012,Stadt Bremerhaven,2011,2,2359,1168
4012,Stadt Bremerhaven,2011,1,19503,8170
4012,Stadt Bremerhaven,2011,1,1624,721
4012,Stadt Bremerhaven,2010,12,20617,8843
4012,Stadt Bremerhaven,2010,12,2242,1022
4012,Stadt Bremerhaven,2010,11,22625,11849
4012,Stadt Bremerhaven,2010,11,4073,2096
4012,Stadt Bremerhaven,2010,10,30706,16257
4012,Stadt Bremerhaven,2010,10,8148,3945
4012,Stadt Bremerhaven,2010,9,28599,15201
4012,Stadt Bremerhaven,2010,9,6019,2697
4012,Stadt Bremerhaven,2010,8,32017,15166
4012,Stadt Bremerhaven,2010,8,8009,4138
4012,Stadt Bremerhaven,2010,7,29496,14920
4012,Stadt Bremerhaven,2010,7,6044,2796
4012,Stadt Bremerhaven,2010,6,27319,13904
4012,Stadt Bremerhaven,2010,6,8826,4536
4012,Stadt Bremerhaven,2010,5,28076,14763
4012,Stadt Bremerhaven,2010,5,5498,2599
4012,Stadt Bremerhaven,2010,4,22907,11727
4012,Stadt Bremerhaven,2010,4,7196,3093
4012,Stadt Bremerhaven,2010,3,20921,10677
4012,Stadt Bremerhaven,2010,3,3490,1529
4012,Stadt Bremerhaven,2010,2,15399,7920
4012,Stadt Bremerhaven,2010,2,1569,801
4012,Stadt Bremerhaven,2010,1,15311,8034
4012,Stadt Bremerhaven,2010,1,2122,1296
4012,Stadt Bremerhaven,2009,12,15346,7911
4012,Stadt Bremerhaven,2009,12,2320,1239
4012,Stadt Bremerhaven,2009,11,19079,10312
4012,Stadt Bremerhaven,2009,11,2204,1084
4012,Stadt Bremerhaven,2009,10,24173,12224
4012,Stadt Bremerhaven,2009,10,6662,3264
4012,Stadt Bremerhaven,2009,9,25212,11757
4012,Stadt Bremerhaven,2009,9,7592,3964
4012,Stadt Bremerhaven,2009,8,24678,12155
4012,Stadt Bremerhaven,2009,8,6911,3169
4012,Stadt Bremerhaven,2009,7,22273,10666
4012,Stadt Bremerhaven,2009,7,8563,4175
4012,Stadt Bremerhaven,2009,6,21558,11064
4012,Stadt Bremerhaven,2009,6,6488,3276
4012,Stadt Bremerhaven,2009,5,23554,11399
4012,Stadt Bremerhaven,2009,5,7727,3571
4012,Stadt Bremerhaven,2009,4,18455,8654
4012,Stadt Bremerhaven,2009,4,5844,2499
4012,Stadt Bremerhaven,2009,3,17936,8019
4012,Stadt Bremerhaven,2009,3,2500,1280
4012,Stadt Bremerhaven,2009,2,14796,6906
4012,Stadt Bremerhaven,2009,2,1486,729
4012,Stadt Bremerhaven,2009,1,13059,6114
4012,Stadt Bremerhaven,2009,1,1270,544
4012,Stadt Bremerhaven,2008,12,13080,6861
4012,Stadt Bremerhaven,2008,12,3737,1747
4012,Stadt Bremerhaven,2008,11,16107,7599
4012,Stadt Bremerhaven,2008,11,3489,1535
4012,Stadt Bremerhaven,2008,10,21510,10617
4012,Stadt Bremerhaven,2008,10,6181,2890
4012,Stadt Bremerhaven,2008,9,22577,11801
4012,Stadt Bremerhaven,2008,9,7742,3449
4012,Stadt Bremerhaven,2008,8,24916,11940
4012,Stadt Bremerhaven,2008,8,9012,4389
4012,Stadt Bremerhaven,2008,7,23182,12722
4012,Stadt Bremerhaven,2008,7,7908,3746
4012,Stadt Bremerhaven,2008,6,20998,12271
4012,Stadt Bremerhaven,2008,6,6427,3459
4012,Stadt Bremerhaven,2008,5,21578,12376
4012,Stadt Bremerhaven,2008,5,7551,3583
4012,Stadt Bremerhaven,2008,4,17164,9835
4012,Stadt Bremerhaven,2008,4,4879,2404
4012,Stadt Bremerhaven,2008,3,18902,10911
4012,Stadt Bremerhaven,2008,3,3416,878
4012,Stadt Bremerhaven,2008,2,12187,6612
4012,Stadt Bremerhaven,2008,2,1569,645
4012,Stadt Bremerhaven,2008,1,12265,5865
4012,Stadt Bremerhaven,2008,1,1148,560
