469-30: Beherbergungsbetriebe, G�stebetten, -�bernachtungen, -ank�nfte nach Betriebsarten (Monatszahlen);;;;;
Gebietsschl�ssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;G�ste�bernachtungen;G�steank�nfte
;;;;insgesamt;insgesamt
4011;Stadt Bremen;2011-05;Sonstige Einrichtungen 3);7673;3307
4011;Stadt Bremen;2011-05;Insgesamt;146193;85635
4011;Stadt Bremen;2011-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;118003;69429
4011;Stadt Bremen;2011-04;Sonstige Einrichtungen 3);6827;3055
4011;Stadt Bremen;2011-04;Insgesamt;124830;72484
4011;Stadt Bremen;2011-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;110055;66883
4011;Stadt Bremen;2011-03;Sonstige Einrichtungen 3);6069;2828
4011;Stadt Bremen;2011-03;Insgesamt;116124;69711
4011;Stadt Bremen;2011-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;95964;57950
4011;Stadt Bremen;2011-02;Sonstige Einrichtungen 3);4536;2152
4011;Stadt Bremen;2011-02;Insgesamt;100500;60102
4011;Stadt Bremen;2011-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;85701;53160
4011;Stadt Bremen;2011-01;Sonstige Einrichtungen 3);3896;1968
4011;Stadt Bremen;2011-01;Insgesamt;89597;55128
4011;Stadt Bremen;2010-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;118622;73864
4011;Stadt Bremen;2010-12;Sonstige Einrichtungen 3);4238;2155
4011;Stadt Bremen;2010-12;Insgesamt;122860;76019
4011;Stadt Bremen;2010-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;118318;73892
4011;Stadt Bremen;2010-11;Sonstige Einrichtungen 3);5269;2687
4011;Stadt Bremen;2010-11;Insgesamt;123587;76579
4011;Stadt Bremen;2010-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;141660;83160
4011;Stadt Bremen;2010-10;Sonstige Einrichtungen 3);8220;3860
4011;Stadt Bremen;2010-10;Insgesamt;149880;87020
4011;Stadt Bremen;2010-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;130720;78666
4011;Stadt Bremen;2010-09;Sonstige Einrichtungen 3);7069;3308
4011;Stadt Bremen;2010-09;Insgesamt;137789;81974
4011;Stadt Bremen;2010-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;121270;70720
4011;Stadt Bremen;2010-08;Sonstige Einrichtungen 3);8133;4111
4011;Stadt Bremen;2010-08;Insgesamt;129403;74831
4011;Stadt Bremen;2010-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;114160;63937
4011;Stadt Bremen;2010-07;Sonstige Einrichtungen 3);7512;3583
4011;Stadt Bremen;2010-07;Insgesamt;121672;67520
4011;Stadt Bremen;2010-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;112744;67515
4011;Stadt Bremen;2010-06;Sonstige Einrichtungen 3);7245;3364
4011;Stadt Bremen;2010-06;Insgesamt;119989;70879
4011;Stadt Bremen;2010-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;118927;70721
4011;Stadt Bremen;2010-05;Sonstige Einrichtungen 3);8667;3985
4011;Stadt Bremen;2010-05;Insgesamt;127594;74706
4011;Stadt Bremen;2010-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;109150;66658
4011;Stadt Bremen;2010-04;Sonstige Einrichtungen 3);6574;2932
4011;Stadt Bremen;2010-04;Insgesamt;115724;69590
4011;Stadt Bremen;2010-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;96728;57192
4011;Stadt Bremen;2010-03;Sonstige Einrichtungen 3);8100;3437
4011;Stadt Bremen;2010-03;Insgesamt;104828;60629
4011;Stadt Bremen;2010-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;92798;56935
4011;Stadt Bremen;2010-02;Sonstige Einrichtungen 3);4929;2203
4011;Stadt Bremen;2010-02;Insgesamt;97727;59138
4011;Stadt Bremen;2010-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;77657;46693
4011;Stadt Bremen;2010-01;Sonstige Einrichtungen 3);2619;1141
4011;Stadt Bremen;2010-01;Insgesamt;80276;47834
4011;Stadt Bremen;2009-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;105902;62584
4011;Stadt Bremen;2009-12;Sonstige Einrichtungen 3);3496;1619
4011;Stadt Bremen;2009-12;Insgesamt;109398;64203
4011;Stadt Bremen;2009-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;104038;63149
4011;Stadt Bremen;2009-11;Sonstige Einrichtungen 3);4799;2402
4011;Stadt Bremen;2009-11;Insgesamt;108837;65551
4011;Stadt Bremen;2009-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;120058;69287
4011;Stadt Bremen;2009-10;Sonstige Einrichtungen 3);7688;3519
4011;Stadt Bremen;2009-10;Insgesamt;127746;72806
4011;Stadt Bremen;2009-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;117982;67154
4011;Stadt Bremen;2009-09;Sonstige Einrichtungen 3);8663;3501
4011;Stadt Bremen;2009-09;Insgesamt;126645;70655
4011;Stadt Bremen;2009-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;113077;62925
4011;Stadt Bremen;2009-08;Sonstige Einrichtungen 3);7779;3638
4011;Stadt Bremen;2009-08;Insgesamt;120856;66563
4011;Stadt Bremen;2009-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;96678;55645
4011;Stadt Bremen;2009-07;Sonstige Einrichtungen 3);7819;3865
4011;Stadt Bremen;2009-07;Insgesamt;104497;59510
4011;Stadt Bremen;2009-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;107075;61859
4011;Stadt Bremen;2009-06;Sonstige Einrichtungen 3);7027;3425
4011;Stadt Bremen;2009-06;Insgesamt;114102;65284
4011;Stadt Bremen;2009-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;122662;68266
4011;Stadt Bremen;2009-05;Sonstige Einrichtungen 3);6565;2544
4011;Stadt Bremen;2009-05;Insgesamt;129227;70810
4011;Stadt Bremen;2009-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;99446;58783
4011;Stadt Bremen;2009-04;Sonstige Einrichtungen 3);8260;3560
