id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
559,13,10,04012,14912,29456
560,13,10,04012,1657,4166
561,13,10,04012,16569,33622
562,13,9,04012,16108,31318
563,13,9,04012,1333,3435
564,13,9,04012,17441,34753
565,13,8,04012,16116,32059
566,13,8,04012,1645,4214
567,13,8,04012,17761,36273
568,13,7,04012,14963,30124
569,13,7,04012,1564,3638
570,13,7,04012,16527,33762
571,13,6,04012,14470,27710
572,13,6,04012,1588,3713
573,13,6,04012,16058,31423
574,13,5,04012,14134,27429
575,13,5,04012,1653,3762
576,13,5,04012,15787,31191
577,13,4,04012,12050,23716
578,13,4,04012,952,2657
579,13,4,04012,13002,26373
580,13,3,04012,10488,20833
581,13,3,04012,1010,3410
582,13,3,04012,11498,24243
583,13,2,04012,8728,16659
584,13,2,04012,580,1522
585,13,2,04012,9308,18181
586,13,1,04012,8342,16964
587,13,1,04012,324,818
588,13,1,04012,8666,17782
589,12,12,04012,9543,18540
590,12,12,04012,294,684
591,12,12,04012,9837,19224
592,12,11,04012,11563,21685
593,12,11,04012,918,2103
594,12,11,04012,12481,23788
595,12,10,04012,13772,28043
596,12,10,04012,1521,4193
597,12,10,04012,15293,32236
598,12,9,04012,14255,28666
599,12,9,04012,1418,3809
600,12,9,04012,15673,32475
601,12,8,04012,15201,31024
602,12,8,04012,1752,4428
603,12,8,04012,16953,35452
604,12,7,04012,15044,30132
605,12,7,04012,1835,4621
606,12,7,04012,16879,34753
607,12,6,04012,14473,28511
608,12,6,04012,1354,3529
609,12,6,04012,15827,32040
610,12,5,04012,14474,27621
611,12,5,04012,1510,3694
612,12,5,04012,15984,31315
613,12,4,04012,13081,25339
614,12,4,04012,1432,4175
615,12,4,04012,14513,29514
616,12,3,04012,10944,21377
617,12,3,04012,1171,2987
618,12,3,04012,12115,24364
619,12,2,04012,9385,18231
620,12,2,04012,717,1723
621,12,2,04012,10102,19954
622,12,1,04012,9076,17004
623,12,1,04012,489,1137
624,12,1,04012,9565,18141
625,11,12,04012,9878,19376
626,11,12,04012,339,742
627,11,12,04012,10217,20118
628,11,11,04012,11420,22752
629,11,11,04012,1781,4037
630,11,11,04012,13201,26789
631,11,10,04012,15883,30654
632,11,10,04012,1753,4023
633,11,10,04012,17636,34677
634,11,9,04012,15986,30384
635,11,9,04012,1377,3968
636,11,9,04012,17363,34352
637,11,8,04012,15965,32091
638,11,8,04012,1510,3812
639,11,8,04012,17475,35903
640,11,7,04012,15995,30293
641,11,7,04012,1766,4616
642,11,7,04012,17761,34909
643,11,6,04012,16242,31171
644,11,6,04012,1873,4182
645,11,6,04012,18115,35353
646,11,5,04012,14940,27865
647,11,5,04012,1491,3711
648,11,5,04012,16431,31576
649,11,4,04012,13225,25866
650,11,4,04012,1352,3921
651,11,4,04012,14577,29787
652,11,3,04012,10766,20745
653,11,3,04012,710,1794
654,11,3,04012,11476,22539
655,11,2,04012,8692,16309
656,11,2,04012,445,1093
657,11,2,04012,9137,17402
658,11,1,04012,8170,19503
659,11,1,04012,538,1305
660,11,1,04012,8708,20808
661,10,12,04012,8843,20617
662,10,12,04012,477,1287
663,10,12,04012,9320,21904
664,10,11,04012,11849,22625
665,10,11,04012,699,1627
666,10,11,04012,12548,24252
667,10,10,04012,16257,30706
668,10,10,04012,1708,4233
669,10,10,04012,17965,34939
670,10,9,04012,15201,28599
671,10,9,04012,1382,3720
672,10,9,04012,16583,32319
673,10,8,04012,15166,32017
674,10,8,04012,1839,3986
675,10,8,04012,17005,36003
676,10,7,04012,14920,29496
677,10,7,04012,1673,4080
678,10,7,04012,16593,33576
679,10,6,04012,13904,27319
680,10,6,04012,1673,3818
681,10,6,04012,15577,31137
682,10,5,04012,14763,28076
683,10,5,04012,1570,3697
684,10,5,04012,16333,31773
685,10,4,04012,11727,22907
686,10,4,04012,1225,3929
687,10,4,04012,12952,26836
