469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2015-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;163067;34545;92702;17879
04011;Stadt Bremen;2015-09;Sonstige Einrichtungen 3);6;701;14467;1407;3389;786
04011;Stadt Bremen;2015-09;Insgesamt;94;11467;177534;35952;96091;18665
04011;Stadt Bremen;2015-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;157586;42637;87325;22409
04011;Stadt Bremen;2015-08;Sonstige Einrichtungen 3);6;701;15008;4191;3586;2341
04011;Stadt Bremen;2015-08;Insgesamt;94;11467;172594;46828;90911;24750
04011;Stadt Bremen;2015-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;153089;47346;88303;26234
04011;Stadt Bremen;2015-07;Sonstige Einrichtungen 3);6;701;16219;4934;3967;2921
04011;Stadt Bremen;2015-07;Insgesamt;94;11467;169308;52280;92270;29155
04011;Stadt Bremen;2015-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;154135;38524;88761;19785
04011;Stadt Bremen;2015-06;Sonstige Einrichtungen 3);6;701;14825;1995;3554;1008
04011;Stadt Bremen;2015-06;Insgesamt;94;11467;168960;40519;92315;20793
04011;Stadt Bremen;2015-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;158045;35215;88171;17822
04011;Stadt Bremen;2015-05;Sonstige Einrichtungen 3);6;701;16107;2736;3721;1200
04011;Stadt Bremen;2015-05;Insgesamt;94;11467;174152;37951;91892;19022
04011;Stadt Bremen;2015-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;136248;35497;79347;19001
04011;Stadt Bremen;2015-04;Sonstige Einrichtungen 3);6;701;13855;1939;2862;927
04011;Stadt Bremen;2015-04;Insgesamt;94;11467;150103;37436;82209;19928
04011;Stadt Bremen;2015-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;131369;30837;75231;15040
04011;Stadt Bremen;2015-03;Sonstige Einrichtungen 3);6;701;15410;1330;2903;516
04011;Stadt Bremen;2015-03;Insgesamt;94;11467;146779;32167;78134;15556
04011;Stadt Bremen;2015-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;117079;24094;68576;12584
04011;Stadt Bremen;2015-02;Sonstige Einrichtungen 3);6;701;13786;1356;2431;524
