469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04;Land Bremen;2013-05;Sonstige Einrichtungen 3);6;696;12926;1576;4970;756
04;Land Bremen;2013-05;Insgesamt;115;12378;185715;38445;101001;18812
04;Land Bremen;2013-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;150370;35149;85194;17658
04;Land Bremen;2013-04;Sonstige Einrichtungen 3);6;696;11763;1642;4021;814
04;Land Bremen;2013-04;Insgesamt;115;12378;162133;36791;89215;18472
04;Land Bremen;2013-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;129396;27814;72885;14050
04;Land Bremen;2013-03;Sonstige Einrichtungen 3);6;696;12220;1478;4354;544
04;Land Bremen;2013-03;Insgesamt;115;12378;141616;29292;77239;14594
04;Land Bremen;2013-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;120008;24046;69129;12510
04;Land Bremen;2013-02;Sonstige Einrichtungen 3);6;696;8287;991;4268;375
04;Land Bremen;2013-02;Insgesamt;115;12378;128295;25037;73397;12885
04;Land Bremen;2013-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;109;11682;113686;23905;65613;12054
04;Land Bremen;2013-01;Sonstige Einrichtungen 3);6;696;4533;638;2154;364
04;Land Bremen;2013-01;Insgesamt;115;12378;118219;24543;67767;12418
04;Land Bremen;2012-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;141204;29474;79879;14719
04;Land Bremen;2012-12;Sonstige Einrichtungen 3);5;584;4014;1189;1937;478
