jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
4012,2010,10,4233,1708
4012,2010,10,34939,17965
4012,2010,09,28599,15201
4012,2010,09,3720,1382
4012,2010,09,32319,16583
4012,2010,08,32017,15166
4012,2010,08,3986,1839
4012,2010,08,36003,17005
4012,2010,07,29496,14920
4012,2010,07,4080,1673
4012,2010,07,33576,16593
4012,2010,06,27319,13904
4012,2010,06,3818,1673
4012,2010,06,31137,15577
4012,2010,05,28076,14763
4012,2010,05,3697,1570
4012,2010,05,31773,16333
4012,2010,04,22907,11727
4012,2010,04,3929,1225
4012,2010,04,26836,12952
4012,2010,03,20921,10677
4012,2010,03,2423,919
4012,2010,03,23344,11596
4012,2010,02,15399,7920
4012,2010,02,766,342
4012,2010,02,16165,8262
4012,2010,01,15311,8034
4012,2010,01,1058,688
4012,2010,01,16369,8722
4012,2009,12,15346,7911
4012,2009,12,1284,716
4012,2009,12,16630,8627
4012,2009,11,19079,10312
4012,2009,11,1346,594
4012,2009,11,20425,10906
4012,2009,10,24173,12224
4012,2009,10,3871,1669
4012,2009,10,28044,13893
4012,2009,09,25212,11757
4012,2009,09,3252,1483
4012,2009,09,28464,13240
4012,2009,08,24678,12155
4012,2009,08,4024,1521
4012,2009,08,28702,13676
4012,2009,07,22273,10666
4012,2009,07,3955,1540
4012,2009,07,26228,12206
4012,2009,06,21558,11064
4012,2009,06,2893,1220
4012,2009,06,24451,12284
4012,2009,05,23554,11399
4012,2009,05,3688,1260
4012,2009,05,27242,12659
4012,2009,04,18455,8654
4012,2009,04,2901,817
4012,2009,04,21356,9471
4012,2009,03,17936,8019
4012,2009,03,1019,433
4012,2009,03,18955,8452
4012,2009,02,14796,6906
4012,2009,02,1048,479
4012,2009,02,15844,7385
4012,2009,01,13059,6114
4012,2009,01,880,321
4012,2009,01,13939,6435
4012,2008,12,13080,6861
4012,2008,12,2098,810
4012,2008,12,15178,7671
4012,2008,11,16107,7599
4012,2008,11,2195,795
4012,2008,11,18302,8394
4012,2008,10,21510,10617
4012,2008,10,3244,1212
4012,2008,10,24754,11829
4012,2008,09,22577,11801
4012,2008,09,4477,1583
4012,2008,09,27054,13384
4012,2008,08,24916,11940
4012,2008,08,4861,2016
4012,2008,08,29777,13956
4012,2008,07,23182,12722
4012,2008,07,4848,1997
4012,2008,07,28030,14719
4012,2008,06,20998,12271
4012,2008,06,2874,1429
4012,2008,06,23872,13700
4012,2008,05,21578,12376
4012,2008,05,4275,1710
4012,2008,05,25853,14086
4012,2008,04,17164,9835
4012,2008,04,2426,1002
4012,2008,04,19590,10837
4012,2008,03,18902,10911
4012,2008,03,3416,878
4012,2008,03,22318,11789
4012,2008,02,12187,6612
4012,2008,02,1569,645
4012,2008,02,13756,7257
4012,2008,01,12265,5865
4012,2008,01,1148,560
4012,2008,01,13413,6425
