jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2013,8,03457,38259,240717
2014,8,03457,35855,241470
2015,8,03457,36687,239713
2016,8,03457,41153,258369
2017,8,03457,40997,257254
2018,8,03457,47383,267721
2009,8,03458,13458,29888
2010,8,03458,13990,30649
2011,8,03458,12431,31000
2012,8,03458,11039,25594
2013,8,03458,15507,31479
2014,8,03458,13550,30191
2015,8,03458,16046,34595
2016,8,03458,19244,37614
2017,8,03458,19153,38853
2018,8,03458,20471,41425
2009,8,03459,36827,167083
2010,8,03459,43661,191178
2011,8,03459,38685,177914
2012,8,03459,40299,178673
2013,8,03459,42673,175150
2014,8,03459,40538,188387
2015,8,03459,42319,179305
2016,8,03459,44544,171458
2017,8,03459,45664,179428
2018,8,03459,51906,194081
2009,8,03460,11560,27084
2010,8,03460,12585,35203
2011,8,03460,12219,35343
2012,8,03460,13600,34610
2013,8,03460,13373,33243
2014,8,03460,12034,33675
2015,8,03460,14226,37070
2016,8,03460,14597,36694
2017,8,03460,16002,40460
2018,8,03460,16006,40923
2009,8,03461,19109,97492
2010,8,03461,20111,107039
2011,8,03461,18738,93560
2012,8,03461,21241,103116
2013,8,03461,22216,107614
2014,8,03461,23764,117465
2015,8,03461,25599,122463
2016,8,03461,23904,118030
2017,8,03461,22156,105862
2018,8,03461,23936,109710
2009,8,03462,68218,450521
2010,8,03462,68450,463591
2011,8,03462,65781,462995
2012,8,03462,71230,456126
2013,8,03462,77514,468147
2014,8,03462,71861,468528
2015,8,03462,78466,468388
2016,8,03462,74012,460317
2017,8,03462,71948,455789
2018,8,03462,74857,466931
2009,12,03101,20926,35732
2010,12,03101,21139,36994
2011,12,03101,21570,35187
2012,12,03101,22960,38670
2013,12,03101,24311,41844
2014,12,03101,26556,44615
2015,12,03101,27376,45174
2016,12,03101,30086,49637
2017,12,03101,35347,57546
2018,12,03101,,
2009,12,03102,3314,10657
2010,12,03102,3149,9398
2011,12,03102,3211,9456
2012,12,03102,3555,12716
2013,12,03102,3464,9464
2014,12,03102,3561,11231
2015,12,03102,3554,10384
2016,12,03102,3702,11455
2017,12,03102,3700,10274
2018,12,03102,,
2009,12,03103,15461,30554
2010,12,03103,15615,30601
2011,12,03103,16435,35070
2012,12,03103,14136,32209
2013,12,03103,16692,30676
2014,12,03103,21596,36065
2015,12,03103,22477,38644
2016,12,03103,22620,37292
2017,12,03103,22923,42213
2018,12,03103,,
2009,12,03151,9810,20747
2010,12,03151,7667,22170
2011,12,03151,8780,25147
2012,12,03151,8961,26353
2013,12,03151,8993,26797
2014,12,03151,8439,28049
2015,12,03151,8857,26875
2016,12,03151,7689,20644
2017,12,03151,8484,21398
2018,12,03151,,
2009,12,03153,50911,168424
2010,12,03153,51994,166196
2011,12,03153,53087,165877
2012,12,03153,51932,178578
2013,12,03153,53233,175701
2014,12,03153,56023,175812
2015,12,03153,57940,184617
2016,12,03153,57084,171726
2017,12,03153,64670,193375
2018,12,03153,,
2009,12,03154,5707,9956
2010,12,03154,5956,10121
2011,12,03154,5882,10853
2012,12,03154,6485,11345
2013,12,03154,6411,10889
2014,12,03154,5886,10010
2015,12,03154,6548,11716
2016,12,03154,6149,10496
2017,12,03154,5874,11084
2018,12,03154,,
2009,12,03155,9128,35393
2010,12,03155,9621,30582
2011,12,03155,8924,30763
2012,12,03155,8904,30252
2013,12,03155,7777,26395
2014,12,03155,8310,26881
2015,12,03155,7715,24256
2016,12,03155,8505,25779
2017,12,03155,8505,24943
2018,12,03155,,
2009,12,03157,3184,6942
2010,12,03157,3161,5564
2011,12,03157,4086,9237
2012,12,03157,2966,5463
2013,12,03157,3165,5980
2014,12,03157,3166,5544
2015,12,03157,2891,5231
2016,12,03157,2898,5311
2017,12,03157,3408,6013
2018,12,03157,,
2009,12,03158,3052,6694
2010,12,03158,3186,7498
2011,12,03158,3615,8540
2012,12,03158,3594,8974
2013,12,03158,3270,8572
2014,12,03158,3350,8952
2015,12,03158,3150,7824
2016,12,03158,3375,8418
2017,12,03158,3460,7871
2018,12,03158,,
2009,12,03159,39568,108319
2010,12,03159,38350,96623
