jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2012,8,03353,82180,34520
2013,8,03353,89494,37519
2014,8,03353,87560,35897
2015,8,03353,84260,35666
2016,8,03353,82386,34789
2017,8,03353,81963,35830
2018,8,03353,90550,38913
2009,8,03354,36935,11292
2010,8,03354,34796,11163
2011,8,03354,35636,10838
2012,8,03354,35750,11728
2013,8,03354,31933,10811
2014,8,03354,38356,12066
2015,8,03354,39609,12715
2016,8,03354,38071,12689
2017,8,03354,35730,11740
2018,8,03354,33825,11719
2009,8,03355,66954,28312
2010,8,03355,68140,29063
2011,8,03355,65973,27863
2012,8,03355,69303,28981
2013,8,03355,73166,32280
2014,8,03355,73730,30831
2015,8,03355,73559,30107
2016,8,03355,80163,32844
2017,8,03355,77895,31750
2018,8,03355,77079,33889
2009,8,03356,13507,5691
2010,8,03356,16110,6621
2011,8,03356,18123,6445
2012,8,03356,16333,5649
2013,8,03356,16359,6742
2014,8,03356,14506,5597
2015,8,03356,14399,5683
2016,8,03356,15985,6784
2017,8,03356,15773,6383
2018,8,03356,15945,6505
2009,8,03357,57916,23229
2010,8,03357,57582,23425
2011,8,03357,53741,20677
2012,8,03357,53378,20092
2013,8,03357,57492,23052
2014,8,03357,54606,20202
2015,8,03357,62038,21509
2016,8,03357,63077,22025
2017,8,03357,61104,22362
2018,8,03357,63059,23355
2009,8,03358,382537,104590
2010,8,03358,361193,99505
2011,8,03358,366418,100187
2012,8,03358,368461,103569
2013,8,03358,366094,105418
2014,8,03358,420281,115193
2015,8,03358,429229,120319
2016,8,03358,431152,123475
2017,8,03358,428407,124505
2018,8,03358,397792,117959
2009,8,03359,42837,17684
2010,8,03359,50596,21439
2011,8,03359,49481,19530
2012,8,03359,49595,19771
2013,8,03359,53203,21816
2014,8,03359,48609,20336
2015,8,03359,47959,20262
2016,8,03359,55706,21946
2017,8,03359,55673,22869
2018,8,03359,62469,24763
2009,8,03360,87248,16807
2010,8,03360,87652,17773
2011,8,03360,85050,16801
2012,8,03360,86455,15885
2013,8,03360,88217,18438
2014,8,03360,88550,17737
2015,8,03360,86427,17090
2016,8,03360,87932,19387
2017,8,03360,88740,20237
2018,8,03360,82445,18186
2009,8,03361,31708,15134
2010,8,03361,32090,13928
2011,8,03361,36024,15003
2012,8,03361,38284,14215
2013,8,03361,35985,15465
2014,8,03361,37921,14367
2015,8,03361,35282,14830
2016,8,03361,35581,17029
2017,8,03361,37280,18329
2018,8,03361,40260,20673
2009,8,03401,3628,2300
2010,8,03401,4058,2233
2011,8,03401,4245,2300
2012,8,03401,3948,2700
2013,8,03401,3961,2106
2014,8,03401,4662,2364
2015,8,03401,4072,2312
2016,8,03401,4485,2517
2017,8,03401,5518,3282
2018,8,03401,5427,3042
2009,8,03402,13229,6809
2010,8,03402,15535,7037
2011,8,03402,16343,6942
2012,8,03402,17529,7791
2013,8,03402,18590,9746
2014,8,03402,18921,8437
2015,8,03402,17753,8223
2016,8,03402,21130,9827
2017,8,03402,22037,9986
2018,8,03402,22769,10671
2009,8,03403,24529,11714
2010,8,03403,28425,13066
2011,8,03403,27660,12274
2012,8,03403,25340,10623
2013,8,03403,28866,13276
2014,8,03403,29808,13447
2015,8,03403,30580,13758
2016,8,03403,33948,16219
2017,8,03403,35147,15774
2018,8,03403,36780,16986
2009,8,03404,26301,16993
2010,8,03404,26444,16656
2011,8,03404,26501,16111
2012,8,03404,24079,15282
2013,8,03404,26647,16523
2014,8,03404,25431,15850
2015,8,03404,33816,20523
2016,8,03404,43788,26464
2017,8,03404,40499,25875
2018,8,03404,43410,26958
2009,8,03405,23748,7849
2010,8,03405,29876,10297
2011,8,03405,30466,10332
2012,8,03405,31608,10339
2013,8,03405,35330,13053
2014,8,03405,37242,12679
2015,8,03405,40433,13586
2016,8,03405,41135,14520
2017,8,03405,41061,13945
2018,8,03405,40930,14728
2009,8,03451,87389,26577
2010,8,03451,86858,26384
2011,8,03451,87700,25429
2012,8,03451,90529,25523
2013,8,03451,91221,27077
2014,8,03451,94512,26018
2015,8,03451,95115,26987
2016,8,03451,94555,29377
2017,8,03451,93587,30207
2018,8,03451,97673,30704
2009,8,03452,599229,99826
2010,8,03452,616821,95428
2011,8,03452,613408,92750
2012,8,03452,595485,94810
2013,8,03452,612887,103895
2014,8,03452,615680,103180
2015,8,03452,612778,104543
2016,8,03452,629082,105317
2017,8,03452,629144,108852
2018,8,03452,652578,110669
2009,8,03453,38055,13357
2010,8,03453,44958,14957
2011,8,03453,50360,14991
2012,8,03453,52037,15271
2013,8,03453,43958,14747
2014,8,03453,57887,15568
